kanji,onyomi,onyomi_all,kunyomi_all,onyomi_in_use,kunyomi_in_use,observed_readings,meaning,components,radical,non_radical_part,radical_cd,radical_strokes,non_radical_strokes,total_strokes,pinyin,pinyin_tone,pinyin_initial,pinyin_final,pinyin_tone_num,nasal_coda,is_entering_tone,entering_coda,word_count,sample_words
勠,リク,リク|ロク,,,,,◆多くの力を一つに合わせる、力を一か所に集中する、同「戮」◆残忍な方法で人を殺す、同「戮」,羽羽人𠆢ノ丿３彡㐱７翏カ力勠,力,翏,2d,2,11,13,lu,lu4,l,u4,4,none,1,-k,0,[]
勢,セイ,セイ|セ|ゼイ,いきお・い,セイ|セ|ゼイ,いきお・い,いきおい|おおぜい|けいせい|しせい|じょうせい|せいりょく|たいせい|ゆうせい,◆他を押さえ押し退ける力が強いさま、他に大きな影響を及ぼすさま◆物事の変化の様子や程度(「情勢」「時勢」など)、変化のあるものの姿や状態(「姿勢」「形勢」など)◆兵の数、「勢力の大きさ」の意◆男性の性器,土ハ八一ノ丿Ｌ乚儿兀圥２坴⺄九、丶丸埶カ力勢,力,埶,2d,2,11,13,shi,shi4,sh,i4,4,none,1,-k,8,"[{""word"": ""大勢"", ""kana"": ""おおぜい""}, {""word"": ""姿勢"", ""kana"": ""しせい""}, {""word"": ""勢い"", ""kana"": ""いきおい""}, {""word"": ""形勢"", ""kana"": ""けいせい""}, {""word"": ""情勢"", ""kana"": ""じょうせい""}, {""word"": ""勢力"", ""kana"": ""せいりょく""}, {""word"": ""態勢"", ""kana"": ""たいせい""}, {""word"": ""優勢"", ""kana"": ""ゆうせい""}]"
勣,セキ,セキ|シャク,,,,,◆積み重ねてきたことの結果、成果、同「績」,十二三土龶目ハ貝責カ力勣,力,責,2d,2,11,13,ji,ji1,j,i1,1,none,1,-k,0,[]
勤,キン,キン|ゴン,つと・める|いそ・しむ,キン,つと・める,きんぞく|きんべん|きんむ|けっきん|しゅっきん|じょうきん|たいきん|つうきん|つとまる|つとめ|つとめる|てんきん|ひじょうきん,◆すべきことに(仕事に)力を注(そそ)ぐ、励(はげ)む、精(セイ)を出す、同「廑」,サ十２艹艹艹口三土堇𦰌カ力勤勤,力,𦰌,2d,2,10,12,qin,qin2,q,in2,2,none,0,none,13,"[{""word"": ""勤める"", ""kana"": ""つとめる""}, {""word"": ""勤勉"", ""kana"": ""きんべん""}, {""word"": ""勤務"", ""kana"": ""きんむ""}, {""word"": ""欠勤"", ""kana"": ""けっきん""}, {""word"": ""出勤"", ""kana"": ""しゅっきん""}, {""word"": ""退勤"", ""kana"": ""たいきん""}, {""word"": ""通勤"", ""kana"": ""つうきん""}, {""word"": ""常勤"", ""kana"": ""じょうきん""}, {""word"": ""勤め"", ""kana"": ""つとめ""}, {""word"": ""転勤"", ""kana"": ""てんきん""}]"
勦,ソウ,ソウ|ショウ,,,,,◆さっと薙(な)ぎ払うように一斉に捕らえる、根絶やしにする、同「剿」◆さっと掠め取る、同「剿」◆力を尽くして働く、精一杯働き疲れる、苦労する,く𡿨３巛田甲木果巢カ力勦,力,巣,2d,2,11,13,chao,chao1,ch,ao1,1,none,0,none,0,[]
勧,ケン,ケン|コン|カン,すす・める,カン,すす・める,かんこく|かんゆう|すすめ|すすめる,◆手を貸し励(はげ)まし促(うなが)す、繰返し促す,ノ丿一𠂉二ナ２隹カ力勧,力,11勧-力,2d,2,11,13,quan,quan4,q,uan4,4,none,0,none,4,"[{""word"": ""勧める"", ""kana"": ""すすめる""}, {""word"": ""勧め"", ""kana"": ""すすめ""}, {""word"": ""勧告"", ""kana"": ""かんこく""}, {""word"": ""勧誘"", ""kana"": ""かんゆう""}]"
勲,クン,クン,いさお,,,,◆国王や君主のために尽くした称賛すべき功労・功績,ノ丿十千日田甲土里重、丶４灬熏カ力動勲,力,熏,2d,2,13,15,xun,xun1,x,un1,1,none,0,none,0,[]
勳,クン,クン,いさお,,,,◆国王や君主のために尽くした称賛すべき功労・功績,ノ丿十千口ソ丷土、丶４灬黑熏カ力勳,力,熏,2d,2,14,16,xun,xun1,x,un1,1,none,0,none,0,[]
勵,レイ,レイ|ライ,はげ・ます|はげ・む,,,,◆はげ・ます、元気付ける、力付ける、奮(ふる)い立たせる◆仕事などに力を注ぐ,厂サ十２艹艹艹田甲冂ム厶禸禺萬厲カ力勵,力,厲,2d,2,14,16,li,li4,l,i4,4,none,1,-k,0,[]
勸,ケン,ケン|コン|カン,すす・める,,,,◆手を貸し励(はげ)まし促(うなが)す、繰返し促す,サ十２艹艹艹口吅ノ丿隹𨾴雚カ力勸,力,雚,2d,2,17,19,quan,quan4,q,uan4,4,none,0,none,0,[]
勹,ホウ,ホウ|ヒョウ,,,,,◆包む、同「包」◆つつみがまえ、部首名,ノ丿𠃌勹,勹,,2e,2,0,2,bao,bao1,b,ao1,1,none,0,none,0,[]
勺,シャク,シャク|ジャク,,,,,◆液体を汲(く)み取る、掬(すく)う◆液体を汲み取る椀状の器、その柄(え、持ち手、取っ手)を「杓(シャク)」という◆容量の単位、1勺=1/10合 ◆[日]面積の単位、1勺=1/100坪,ノ丿𠃌勹、丶一勺,勹,丶,2e,2,1,3,shao,shao2,sh,ao2,2,none,0,none,0,[]
勾,コウ,コウ|ク,,コウ,,こうばい,"◆曲がる、湾曲する、同「句」◆""」Ｊ""字状(鉤状)に曲がる、同「句」「鈎(鉤)」◆鉤(かぎ)状のものでひっかける、同「拘」◆言葉や文章の区切りの記号(""」""、閉じ鉤括弧、縦書きの場合は""Ｌ""のような形で表す)や誤りであることや削除すことを示す記号(""✓""、チェックマーク、勾号)¶古くは「句」と同字(同音同義字)だが、現代では「句」は多く「言葉や文章の区切り」の意に用い、「勾」は「曲がる」の意に用いる",ノ丿𠃌勹ム厶勾,勹,厶,2e,2,2,4,gou,gou1,g,ou1,1,none,0,none,1,"[{""word"": ""勾配"", ""kana"": ""こうばい""}]"
勿,ブツ,ブツ|モチ,なか・れ,モチ,,もちろん|もったいない,◆なか・れ、～するな、禁止の助字◆～ない、～しない、～でない、否定の助字◆「勿吉(モツキチ)」、南北朝時代(420年～589年)現中国北東部吉林省・黒竜江省から極東ロシア南部沿海地方・ハバロフスク地方一帯に住んでいた遊牧民族の名、隋代(581年～618年)以降は靺鞨(マツカツ)と呼ばれるようになる ¶棹(さお)に三枚(或いは数枚)の細長い布を垂らした旗(はた)を象った字、「【說文解字:勿部:勿】州里所建旗象其柄有三游雜帛幅半異所以趣民故遽稱勿勿凡勿之屬皆从勿𣃦勿或从於」,ノ丿𠃌勹２３勿,勹,,2e,2,2,4,wu,wu4,w,u4,4,none,1,-k,2,"[{""word"": ""勿論"", ""kana"": ""もちろん""}, {""word"": ""勿体無い"", ""kana"": ""もったいない""}]"
匁,,,もんめ,,,,◆[日]重量の単位、1貫=1000匁 ◆[日]貨幣の単位、金1両=銀60匁(江戸時代元禄期),ノ２ク勹メ乂匁,勹,乂,2e,2,2,4,wen,wen2,w,en2,2,none,0,none,0,[]
匂,,,にお・い|にお・う,,にお・い|にお・う,におい,◆[日]よい香り、よい香りがする、よい香りが届いて来る◆[日]美しさが目を引く、色合いが美しく引き立つ◆[日]～のような感じがする,ノ丿𠃌勹ヒ七𠤎匕匂,勹,匕,2e,2,2,4,xiong,xiong1,x,iong1,1,none,0,none,1,"[{""word"": ""匂い"", ""kana"": ""におい""}]"
包,ホウ,ホウ|ヒョウ,つつ・む|くる・む,ホウ,つつ・む,こづつみ|こんぽう|つつむ|ほうそう|ほうたい|ほうちょう|～づつみ,◆布や紙などの薄い膜状のもので全体を覆(おお)う、中のものを保護するように全体を覆う、含(ふく)める、同「裹」◆周りを覆う、周りを囲う,ノ丿𠃌勹コ匚Ｌ乚己巳包,勹,己,2e,2,3,5,bao,bao1,b,ao1,1,none,0,none,7,"[{""word"": ""包む"", ""kana"": ""つつむ""}, {""word"": ""小包"", ""kana"": ""こづつみ""}, {""word"": ""包装"", ""kana"": ""ほうそう""}, {""word"": ""包丁"", ""kana"": ""ほうちょう""}, {""word"": ""～包み"", ""kana"": ""～づつみ""}, {""word"": ""包帯"", ""kana"": ""ほうたい""}, {""word"": ""梱包"", ""kana"": ""こんぽう""}]"
匆,ソウ,ソウ|ス,,,,,◆慌ただしい、気が急(せ)く、忙(せわ)しい、同「怱」,ノ丿𠃌勹２３勿、丶メ匆,勹,,2e,2,3,5,cong,cong1,c,ong1,1,none,0,none,0,[]
匈,キョウ,キョウ|ク,,,,,◆胸(むね、体の前の首の下から腹の上までの部分)、胸の内、同「胸」◆「匈匈(キョウキョウ)」、不安や怯えで大勢が大声で言い合い騒然とするさま、「【荀子:天論篇第十七】天不爲人之惡寒也…輟廣君子不為小人之匈匈也輟行(匈匈喧譁之聲與訩…)」◆「匈奴(キョウド)」、秦代から西晋代(紀元前3世紀～4世紀)にかけて中国北方現モンゴル付近を勢力範囲とした遊牧騎馬民族の名,ノ丿𠃌勹メ㐅凵凶匈,勹,凶,2e,2,4,6,xiong,xiong1,x,iong1,1,none,0,none,0,[]
匍,ホ,ホ|ブ,,,,,◆伏せて腕と足だけで進む◆「匍匐(ホフク)」、腹這いになって腕と足だけで進む,ノ丿𠃌勹十用、丶甫匍,勹,甫,2e,2,7,9,pu,pu2,p,u2,2,none,1,-k,0,[]
匏,ホウ,ホウ|ビョウ,ひさご|ふくべ,,,,◆ひさご、ヒョウタン(瓢箪)やユウガオ(夕顔)などのウリ科ユウガオ属の蔓性の草、またその果実、またその果実の種や果肉を取り除いて作った容器、同「瓟」「瓠」「瓢」  ◆ふくべ、笙(ショウ)や竽(ウ)などの長短十数本の竹筒を円状に組み下から息を吹き込んで鳴らす管楽器の下部の竹筒を束ねた部分 ,大二一Ｌフ𠃌丂亏夸ノ丿𠃌勹コ匚Ｌ乚己巳包匏,勹,,2e,2,9,11,pao,pao2,p,ao2,2,none,0,none,0,[]
匐,フク,フク|ブク,,,,,◆腹這(はらば)う、伏せる◆「匍匐(ホフク)」、腹這いになって腕と足だけで進む,ノ丿𠃌勹一口田畐ノ丿𠃌勹一口田畐匐,勹,畐,2e,2,9,11,fu,fu2,f,u2,2,none,1,-k,0,[]
匕,ヒ,ヒ,,,,,◆食べ物を掬(すく)い取る匙(さじ、スプーンspoon)、またその形◆「匕首(ヒシュ、あいくち)」、短剣(タンケン)、短い両刃の剣(ケン、つるぎ)◆さじ、さじのひ、部首名¶別「𠤎」,ヒ七𠤎匕,匕,,2f,2,0,2,bi,bi3,b,i3,3,none,0,none,0,[]
化,カ,カ|ケ,ば・ける,カ|ケ,ば・ける,おんだんか|かがく|かっせいか|きょうか|けしょう|こうれいか|ごまかす|しょうか|しょうしか|しんか|じょうか|せいじょうか|たいか|ばける|ぶんか|へんか|～か,◆性質・形状・状態などが元とは全く違ったものに変わる、まだ元の様子が分かる程度の変化は「変」◆他の影響を受けて、また時間を経ることによって考えや態度などが変わる◆教え導くことによって考えや態度などを変える,イ亻ヒ七𠤎匕化,匕,人,2f,2,2,4,hua,hua4,h,ua4,4,none,0,none,17,"[{""word"": ""温暖化"", ""kana"": ""おんだんか""}, {""word"": ""化学"", ""kana"": ""かがく""}, {""word"": ""少子化"", ""kana"": ""しょうしか""}, {""word"": ""文化"", ""kana"": ""ぶんか""}, {""word"": ""変化"", ""kana"": ""へんか""}, {""word"": ""～化"", ""kana"": ""～か""}, {""word"": ""化粧"", ""kana"": ""けしょう""}, {""word"": ""強化"", ""kana"": ""きょうか""}, {""word"": ""高齢化"", ""kana"": ""こうれいか""}, {""word"": ""消化"", ""kana"": ""しょうか""}]"
北,ホク,ホク,きた,,きた,きた|きたがわ|なんぼく|はいぼく,◆東(トウ、ひがし、太陽が昇る方角)に向いたときに左の方角、右の方角を「南」◆背(そむ)ける、背(せ)を向ける、背(そむ)く、同「背」◆逃(に)げる、「敵に背を見せて走る」の意,ヒ七𠤎匕北,匕,,2f,2,3,5,bei,bei3,b,ei3,3,none,0,none,4,"[{""word"": ""北"", ""kana"": ""きた""}, {""word"": ""北側"", ""kana"": ""きたがわ""}, {""word"": ""南北"", ""kana"": ""なんぼく""}, {""word"": ""敗北"", ""kana"": ""はいぼく""}]"
匙,シ,シ|ジ,さじ,ジ,さじ,さじ,◆食べ物などを掬(すく)い取る食器、スプーンspoon◆錠前(じょうまえ、扉や戸を閉じて開かないようにするための道具、中国では「鎖」)を開けるための鍵(かぎ)、「鑰匙(ヤクシ)」,日一上止龰𤴓是ヒ七𠤎匕匙,匕,是,2f,2,9,11,shi,shi,sh,i,0,none,0,none,1,"[{""word"": ""匙"", ""kana"": ""さじ""}]"
匚,ホウ,ホウ,,,,,◆物を入れて置く四角い容器◆はこがまえ、部首名¶別「匸」,匚,匚,,2g,2,0,2,fang,fang1,f,ang1,1,none,0,none,0,[]
匝,ソウ,ソウ,,,,,◆周(めぐ)る、一回(ひとまわ)りする、同「帀」「迊」「浹」,匚巾匝,匚,巾,2g,2,3,5,za,za1,z,a1,1,none,1,-t,0,[]
匠,ショウ,ショウ|ゾウ,たくみ,ショウ,,きょしょう,◆木工の技術を持つ職人、(優すぐれた)手仕事の技術を持つ職人◆技芸の巧(たく)みなさま、技芸に秀(ひい)でているさま、またそのようなもの(作品)、またそのような人,匚ノ丿２𠂆一𠂋Ｔ斤匠,匚,斤,2g,2,4,6,jiang,jiang4,j,iang4,4,none,0,none,1,"[{""word"": ""巨匠"", ""kana"": ""きょしょう""}]"
匡,キョウ,キョウ|コウ,ただ・す,,,,◆四角い箱状の籠(かご)、同「筐」◆本来の形に正(ただ)す、誤りを正す◆救う、助ける,匚王匡,匚,王,2g,2,4,6,kuang,kuang1,k,uang1,1,none,0,none,0,[]
匣,コウ,コウ|ギョウ|ゴウ,はこ,,,,◆物を整理収納するための小箱、「匱(キ)」より小さく「匵(トク)」より大きいもの、「【六書故:第二十六:{⿷匚䝿}】今通㠯藏器之大者爲{⿷匚䝿}次爲匣小爲匵」 ,匚田甲匣,匚,甲,2g,2,5,7,xia,xia2,x,ia2,2,none,0,none,0,[]
匪,ヒ,ヒ,,,,,◆竹製の長方形の箱◆乱暴非道(ランボウヒドウ)なさま、またそのような人、「匪徒(ヒト)」「匪賊(ヒゾク)」◆～ではない、否定を表す言葉、同「非」,匚一６三２非匪,匚,非,2g,2,8,10,fei,fei3,f,ei3,3,none,0,none,0,[]
匯,カイ,カイ|エ,,,,,◆幾つかの流れが合流する、幾つかの流れが一か所に集まる、あちこちから集まって来て一つに纏(まと)まる、同「汇」◆廻(めぐ)る、一巡して元に戻る◆為替(かわせ)◆簡「汇」,匚シ氵ノ２隹淮匯,匚,淮,2g,2,11,13,hui,hui4,h,ui4,4,none,0,none,0,[]
匱,キ,キ|ギ,,,,,◆物を収納するための蓋付きの箱、「匣」より大きいもの、同「櫃」、「【六書故:第二十六:{⿷匚䝿}】今通㠯藏器之大者爲{⿷匚䝿}次爲匣小爲匵」◆貯(たくわ)えが底を突く、尽きる、乏(とぼ)しい,匚口Ｉ｜丨中一𠀐目ハ貝貴匱,匚,貴,2g,2,12,14,gui,gui4,g,ui4,4,none,0,none,0,[]
匳,レン,レン,,,,,◆蓋付きの箱、身の回りの品や飯(めし)などを入れる箱、「妝奩(ショウレン、化粧道具を入れる箱)」鏡奩(キョウレン、鏡や化粧道具を入れる箱)」「香奩(コウレン、香コウを入れる箱)」、同「籢」,匚人𠆢一亼口２吅从３僉匳,匚,僉,2g,2,13,15,lian,lian2,l,ian2,2,none,0,none,0,[]
匸,ケイ,ケイ|ゲ,,,,,◆(周りを覆って)人の目に触れないように隠(かく)す、「【說文解字注:匸部:匸】衺徯有所㚒臧也(㚒各本作俠今正衺者■也徯者待也㚒者盜竊褱物也…)」◆かくしがまえ、部首名¶別「匚」,匚匸,匚,,2g,2,0,2,xi,xi4,x,i4,4,none,1,-k,0,[]
匹,ヒツ,ヒツ|ヒチ|ヒキ,,ヒキ,,ひってき|～ひき,◆一対(ツイ)になる、二つで一組になる◆対になること、互いに釣り合いが取れること、「匹敵(ヒッテキ、釣り合うこと、対等であること、またその相手)」◆「匹配(ヒッパイ)」◇対になること、釣り合いが取れるように互いを組み合わせる(結び付ける)こと◇夫婦になること◆一対になるものの片方、相手◆「匹夫、匹婦(ヒップ)」◇一人の男性、女性◇一般の(庶民の)男性、女性◆動物を数える言葉、同「疋」◆布の長さの単位、1匹=4丈,匚一ノ丿Ｌ乚儿兀匹,匚,儿,2g,2,2,4,pi,pi3,p,i3,3,none,0,none,2,"[{""word"": ""～匹"", ""kana"": ""～ひき""}, {""word"": ""匹敵"", ""kana"": ""ひってき""}]"
区,ク,ク|オウ|ウ,,ク,,くいき|くかく|くぎり|くぎる|くぶん|くべつ|ちく|～く,◆ある大きさのものを幾つかに別(わ)ける、仕切(しき)る◆周りを仕切ったところ、他から仕切られたところ◆行政上の地域の単位◆小さいさま、細かいさま◆戦国時代(前5世紀～前221年)の齊国(セイ、前386年～前221年)の容量の単位、1区(オウ)=4豆=1斗4升 ,匚メ㐅区,匚,㐅,2g,2,2,4,qu,qu1,q,u1,1,none,1,-k,8,"[{""word"": ""～区"", ""kana"": ""～く""}, {""word"": ""区別"", ""kana"": ""くべつ""}, {""word"": ""区域"", ""kana"": ""くいき""}, {""word"": ""区切る"", ""kana"": ""くぎる""}, {""word"": ""区分"", ""kana"": ""くぶん""}, {""word"": ""地区"", ""kana"": ""ちく""}, {""word"": ""区画"", ""kana"": ""くかく""}, {""word"": ""区切り"", ""kana"": ""くぎり""}]"
医,イ,イ,,イ,,いがく|いし|いしゃ|いりょう|はいしゃ,◆弓や弩(ド、機械仕掛けの弓)の矢を入れる容器◆病気を治(なお)す、また病気を治療する人、同繁「醫」、同「毉」,匚大天矢医,匚,矢,2g,2,5,7,yi,yi1,y,i1,1,none,1,-k,5,"[{""word"": ""医者"", ""kana"": ""いしゃ""}, {""word"": ""医学"", ""kana"": ""いがく""}, {""word"": ""歯医者"", ""kana"": ""はいしゃ""}, {""word"": ""医師"", ""kana"": ""いし""}, {""word"": ""医療"", ""kana"": ""いりょう""}]"
匿,ジョク,ジョク|ニョク|トク,かくま・う|かく・す,,,,◆箱などの中(上下四周が囲われていてどこからも人目に触れることがないところ)に人や物を隠す◆人の目には触れないように上下四周が囲われているところに入れる、また入る,匚サ十２艹艹艹ナ𠂇口右若匿,匚,若,2g,2,8,10,ni,ni4,n,i4,4,none,1,-k,0,[]
區,ク,ク|オウ|ウ,,,,,◆ある大きさのものを幾つかに別(わ)ける、仕切(しき)る◆周りを仕切ったところ、他から仕切られたところ◆行政上の地域の単位◆小さいさま、細かいさま◆戦国時代(前5世紀～前221年)の齊国(セイ、前386年～前221年)の容量の単位、1区(オウ)=4豆=1斗4升 ,匚口２吅３品區,匚,品,2g,2,9,11,qu,qu1,q,u1,1,none,1,-k,0,[]
十,シュウ,シュウ|ジュウ,とお|と,ジュウ,とお|と,じゅうじろ|じゅうぶん|とお|とおか|はたち|はつか|ふじゅうぶん,◆数の名、十番目 ◆多い◆全て、全て備わる、全て揃う、「【說文解字:十部:十】數之具也一爲東西丨爲南北則四方中央備矣…」◆じゅう、部首名,十,十,,2h,2,0,2,shi,shi2,sh,i2,2,none,0,none,7,"[{""word"": ""十"", ""kana"": ""とお""}, {""word"": ""十日"", ""kana"": ""とおか""}, {""word"": ""二十歳"", ""kana"": ""はたち""}, {""word"": ""二十日"", ""kana"": ""はつか""}, {""word"": ""十分"", ""kana"": ""じゅうぶん""}, {""word"": ""不十分"", ""kana"": ""ふじゅうぶん""}, {""word"": ""十字路"", ""kana"": ""じゅうじろ""}]"
千,セン,セン,ち,セン,ち,せん|ちぎる,◆百の十倍、キロ kilo ◆数や回数が非常に(十・百よりも)多いさま◆「秋千(シュウセン)」、ぶらんこ、同「鞦韆」,ノ丿十千,十,丿,2h,2,1,3,qian,qian1,q,ian1,1,none,0,none,2,"[{""word"": ""千"", ""kana"": ""せん""}, {""word"": ""千切る"", ""kana"": ""ちぎる""}]"
卅,ソウ,ソウ,さんじゅう,,,,◆三十、「十」を三つ並べ「三十」を表す ,一ノ丿ナ十２廾３卅,十,廾,2h,2,2,4,sa,sa4,s,a4,4,none,0,none,0,[]
卆,ソツ,ソツ|ソチ|シュツ,お・わる|お・える|つい・に|にわか・に,,,,◆下級の兵士、歩兵、上官に付き従い身の回りの世話をする兵◆終わる、尽きる◆大夫(タイフ、君主を補佐する重臣)の死、高位の人の死、同「𣨛」、「【禮記注疏(禮記正義):曲禮下】天子死曰崩諸侯曰薨大夫曰卒士曰不祿庶人曰死」◆終(つい)に、最後に◆俄(にわか)に、急に、突然に,ノ丿⺄九十卆,十,九,2h,2,2,4,zu,zu2,z,u2,2,none,1,-k,0,[]
升,ショウ,ショウ,ます,,,,◆容量の単位、1升=10合 ◆容量を量る枡(ます)◆布の経糸(たていと)の数の単位、【西京雜記】によれば1升=2䌰=10絲(10本)、【儀禮】によれば1升=80縷、いずれも布幅が示されていない、「【西京雜記:第五】五絲為䌰倍䌰為升倍升為𥿮倍𥿮為紀倍紀為緵倍緵為襚」「【儀禮注疏:喪服】…布八十縷為升…」「【禮記:雜記上】朝服十五升…(…正義曰朝服精細全用十五升布爲之…)」◆昇(のぼ)る、上の方向に行く、同「昇」◆登(のぼ)る、高い方(上の方)に進む、同「登」「陞」◆穀物が実る、また熟す、同「登」,ノ丿チ十千一ナ十２廾升,十,,2h,2,2,4,sheng,sheng1,sh,eng1,1,none,0,none,0,[]
午,ゴ,ゴ,うま|ひる,ゴ,,ごご|ごぜん|しょうご,◆十二支の七番目、時刻では午前十二時を中心とした二時間、動物では馬、方角では南 ◆農歴(ノウレキ、中国の伝統的な暦法、旧暦)の五月、「午日(ゴジツ、旧暦の五月五日)」◆縦方向(南北、上下)に交差するさま、「子午(シゴ)」「旁午(ボウゴ◇縦横に交差するさま◇縦横に入り乱れるさま)」「午道(ゴドウ、道が交差し四方八方に通じるさま)」◆背(そむ)く、逆(さか)らう、従(したが)わない、同「忤」「迕」,ノ丿一𠂉十午,十,𠂉,2h,2,2,4,wu,wu3,w,u3,3,none,0,none,3,"[{""word"": ""午後"", ""kana"": ""ごご""}, {""word"": ""午前"", ""kana"": ""ごぜん""}, {""word"": ""正午"", ""kana"": ""しょうご""}]"
卉,キ,キ|ケ,,,,,◆草(くさ)、草類の総称¶「芔」が本字,一ノ丿ナ十２廾３卉,十,廾,2h,2,3,5,hui,hui4,h,ui4,4,none,0,none,0,[]
半,ハン,ハン,なか・ば,ハン,なか・ば,かはんすう|こうはん|じょうはんしん|たいはん|ちゅうとはんぱ|なかば|はん|はんがく|はんすう|はんせいひん|はんそで|はんつき|はんとう|はんとし|はんにち|はんぱ|はんぶん|はん～,◆凡そ二分の一、二分したものの片方◆途中、距離や時間の中間付近◆まだ完全でないさま,ソ丷ハ八二十２半,十,䒑,2h,2,3,5,ban,ban4,b,an4,4,none,0,none,18,"[{""word"": ""半"", ""kana"": ""はん""}, {""word"": ""半分"", ""kana"": ""はんぶん""}, {""word"": ""上半身"", ""kana"": ""じょうはんしん""}, {""word"": ""半額"", ""kana"": ""はんがく""}, {""word"": ""半数"", ""kana"": ""はんすう""}, {""word"": ""半袖"", ""kana"": ""はんそで""}, {""word"": ""半月"", ""kana"": ""はんつき""}, {""word"": ""半年"", ""kana"": ""はんとし""}, {""word"": ""半日"", ""kana"": ""はんにち""}, {""word"": ""過半数"", ""kana"": ""かはんすう""}]"
卍,マン,マン|バン|モン,まんじ,,,,◆仏教などで用いられる吉祥の印 ,十Ｌ𠃍𠃑卍,十,,2h,2,4,6,wan,wan4,w,an4,4,none,0,none,0,[]
卑,ヒ,ヒ,いや・しい|いや・しめる,ヒ,いや・しい|いや・しめる,いやしい|ひきょう,◆下にあるさま、低いさま、高いのは「尊」、「【周易正義(周易注疏):卷十一:繫辭上】天尊地卑乾坤定矣」◆身分や地位などが低い◆下等な、下品な、劣(おと)る、賤(いや)しい、貧(まず)しい◆低くする、下げる,ノ田甶十２卑卑,十,,2h,2,7,9,bei,bei1,b,ei1,1,none,0,none,2,"[{""word"": ""卑怯"", ""kana"": ""ひきょう""}, {""word"": ""卑しい"", ""kana"": ""いやしい""}]"
卒,ソツ,ソツ|ソチ|シュツ,お・わる|お・える|つい・に|にわか・に,ソツ,,そつぎょう|なにとぞ,◆下級の兵士、歩兵、上官に付き従い身の回りの世話をする兵◆終わる、尽きる◆大夫(タイフ、君主を補佐する重臣)の死、高位の人の死、同「𣨛」、「【禮記注疏(禮記正義):曲禮下】天子死曰崩諸侯曰薨大夫曰卒士曰不祿庶人曰死」◆終(つい)に、最後に◆俄(にわか)に、急に、突然に,亠人２从𠅃十卒,十,𠅃,2h,2,6,8,zu,zu2,z,u2,2,none,1,-k,2,"[{""word"": ""卒業"", ""kana"": ""そつぎょう""}, {""word"": ""何卒"", ""kana"": ""なにとぞ""}]"
卓,タク,タク,,タク,,しょくたく|たっきゅう|でんたく,◆ひときわ大きいさま、ひときわ高いさま、抜きん出ているさま◆[日]机、テーブルtable、中国では「桌」,ト⺊日十早卓,十,06卓-十,2h,2,6,8,zhuo,zhuo2,zh,uo2,2,none,1,-k,3,"[{""word"": ""卓球"", ""kana"": ""たっきゅう""}, {""word"": ""食卓"", ""kana"": ""しょくたく""}, {""word"": ""電卓"", ""kana"": ""でんたく""}]"
協,キョウ,キョウ|ギョウ,,キョウ,,きょうぎ|きょうちょう|きょうてい|きょうどう|きょうりょく|だきょう,◆共に力を合わせる、同「劦」◆合わせる、合わさる,十カ力３劦協,十,劦,2h,2,6,8,xie,xie2,x,ie2,2,none,1,-t,6,"[{""word"": ""協力"", ""kana"": ""きょうりょく""}, {""word"": ""協議"", ""kana"": ""きょうぎ""}, {""word"": ""協調"", ""kana"": ""きょうちょう""}, {""word"": ""協定"", ""kana"": ""きょうてい""}, {""word"": ""協同"", ""kana"": ""きょうどう""}, {""word"": ""妥協"", ""kana"": ""だきょう""}]"
南,ダン,ダン|ナン|ナ,みなみ,ナン|ナ,みなみ,なんきょく|なんぼく|みなみ|みなみがわ|カボチャ,◆東(トウ、ひがし、太陽が昇る方角)を向いたときに右の方角、陽が射し込む方角、左の方角を「北」,十冂ソ丷一䒑二十干𢆉南,十,07南-十,2h,2,7,9,nan,nan2,n,an2,2,none,0,none,5,"[{""word"": ""南"", ""kana"": ""みなみ""}, {""word"": ""南瓜"", ""kana"": ""カボチャ""}, {""word"": ""南側"", ""kana"": ""みなみがわ""}, {""word"": ""南極"", ""kana"": ""なんきょく""}, {""word"": ""南北"", ""kana"": ""なんぼく""}]"
単,タン,タン|セン|ゼン,ひとえ,タン,,かんたん|たんい|たんいつ|たんご|たんじゅん|たんすう|たんちょう|たんどく|たんなる|たんに,◆一つ、ただ一つ、それだけ、ただそれだけ、異質のものや別物が混ざっていない状態を指す◆ひとえ◇重ならない、繰り返さない◇裏地のない衣服,ツ⺍田甲十単,小,,3c,3,6,9,dan,dan1,d,an1,1,none,0,none,10,"[{""word"": ""簡単"", ""kana"": ""かんたん""}, {""word"": ""単語"", ""kana"": ""たんご""}, {""word"": ""単位"", ""kana"": ""たんい""}, {""word"": ""単に"", ""kana"": ""たんに""}, {""word"": ""単純"", ""kana"": ""たんじゅん""}, {""word"": ""単数"", ""kana"": ""たんすう""}, {""word"": ""単調"", ""kana"": ""たんちょう""}, {""word"": ""単なる"", ""kana"": ""たんなる""}, {""word"": ""単一"", ""kana"": ""たんいつ""}, {""word"": ""単独"", ""kana"": ""たんどく""}]"
